字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
单据信息	单号	文本	编码规则待确认	是	只读	只读	是	是	是	入库单唯一标识；生成规则待确认。	按编码规则自动生成（待确认）	常规由回传自动生成；人工形成结果单时同样自动编号；编码规范见 COM-FR03（待统一）
单据信息	来源采购收货通知单	关联选择	采购收货通知单	是	只读	只读	是	待确认	是	一次回传生成一张入库单；零收不生成结果单。	一次回传对应的采购收货通知单	零收不生成结果单；列表是否按来源通知查询待确认
单据信息	来源采购订单	关联选择	采购订单	是	只读	只读	是	是	是	通过来源通知追溯到原订单。	通过来源通知追溯到原采购订单	用于追溯和展示
单据信息	采购组织	关联选择	组织资料（金蝶同步）	是	只读	只读	否	待确认	是	来源原单携带的组织，推送金蝶时使用；不在结果单人工选择。	来源原单携带的采购组织	不在结果单人工选择；推送金蝶时使用
单据信息	供应商	关联选择	供应商资料	是	只读	只读	是	是	是	来源原单携带的供应商，用于追溯和金蝶推送；推送字段范围待接口确认。	来源原单携带的供应商	推送字段范围待接口确认；原型新增页可选供应商，与来源携带口径不一致，待对齐
单据信息	币别	关联选择	采购订单	是	只读	只读	是	否	是	来源原单携带的交易币别；推送字段范围待接口确认。	来源原单携带的交易币别	推送字段范围待接口确认；原型表单和列表已有该列
单据信息	入库仓库	关联选择	仓库资料	是	只读	只读	是	是	是	沿用原单指定的逻辑仓，仓库主动回传也不重新分仓；库存按逻辑仓记账。	原单指定的逻辑仓	仓库主动回传也不重新分仓；归属依据不足时挂异常，不任意选仓
单据信息	业务日期	日期	系统记录	是	只读	只读	待确认	待确认	是	推送金蝶时使用的业务日期；取值口径（采用实际入库时间还是来源单据日期）待确认。	推送金蝶时使用的业务日期	取值口径（实际入库时间或来源单据日期）待确认
单据信息	实际入库时间	日期时间	系统记录	是	只读	只读	否	否	是	仓库最终回传实际入库结果的时间。	仓库最终回传实际入库结果的时间	
单据信息	备注	多行文本	手工录入	否	是	是	否	否	是	自动回传时一般为空，人工形成结果单时可以补充。	自由文本	自动回传时一般为空，人工形成结果单时可以补充
状态与推送	审核状态	枚举	流程更新	是	否	只读	是	是	是	草稿、待审核、已审核；回传校验通过后自动审核，人工形成结果单时走提交审核。	草稿／待审核／已审核	回传校验通过后自动审核，人工形成走提交审核；原型用「确认入库／作废」改状态，待对齐
状态与推送	金蝶推送状态	枚举	系统记录	是	否	只读	是	是	是	未推送、推送中、推送成功、推送失败；失败重推原单，不另建业务单。	未推送／推送中／推送成功／推送失败	失败重推原单，不另建业务单；原型没有这个状态，待补；找失败记录见 INT-FR03、INT-FR05
状态与推送	推送时间	日期时间	系统记录	条件必填	否	否	否	否	是	最近一次推送金蝶的时间。	最近一次推送金蝶的时间	未推送时留空
状态与推送	推送失败原因	多行文本	系统记录	条件必填	否	否	否	否	是	金蝶推送失败时记录；修复后针对原单重试。	金蝶推送失败时记录	修复后针对原单重试；未失败时留空
审核信息	审核人	用户引用	系统记录	条件必填	否	否	否	否	是	人工审核时记录审核人；自动审核时留空。	人工审核时记录审核人	自动审核时留空
审核信息	审核时间	日期时间	系统记录	条件必填	否	否	否	否	是	自动审核或人工审核通过的时间。	自动审核或人工审核通过的时间	未审核时留空
商品明细	行号	数值	系统记录	是	只读	只读	否	否	是	明细行顺序号。	从 1 开始的整数	
商品明细	来源收货通知行	关联明细	采购收货通知单	是	只读	只读	否	否	是	关联来源通知明细，数量按来源行回写。	关联来源通知明细	数量按来源行回写
商品明细	商品	关联选择	商品资料	是	只读	只读	否	待确认	是	沿用来源通知行的商品。	沿用来源通知行的成品 SKU	明细展示商品名称；列表是否支持按商品查询待确认
商品明细	基本单位	关联选择	商品资料	是	只读	只读	否	否	是	按所选商品实时带出；与商品名称一起在明细展示，作为数量的计量口径，不单独维护。	商品资料的基本单位	按所选商品实时带出，与商品名称一起在明细展示
商品明细	实际入库数量	数值	系统记录	是	只读	只读	是	否	是	仓库实际收货的数量；不超过通知数量；实际入库增加对应逻辑仓库存。	仓库实际收货的数量，不超过通知数量	审核通过后增加对应逻辑仓库存
商品明细	含税单价	金额	系统记录	是	只读	只读	否	否	是	来源订单交易价格，推送金蝶时使用；推送字段范围待确认。	来源订单的交易价格	推送字段范围待接口确认
商品明细	税率	数值	系统记录	是	只读	只读	否	否	是	来源订单交易税率。	来源订单的交易税率	
商品明细	不含税单价	金额	系统记录	是	只读	只读	否	否	是	来源订单按含税单价和税率计算的结果；精度和尾差处理待确认。	按含税单价和税率计算	精度和尾差处理待确认
商品明细	金额	金额	系统记录	是	只读	只读	是	否	是	来源交易金额；是否区分含税与不含税待确认。	来源交易金额	是否区分含税与不含税待确认
系统信息	创建人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	建单人员。	建单人员	
系统信息	创建时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	建单时间。	建单时间	
系统信息	更新人	用户引用	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改人员。	最近修改人员	
系统信息	更新时间	日期时间	系统记录	不适用（系统赋值）	否	否	否	否	是	最近修改时间。	最近修改时间	
