字段所属分组	字段名称	字段类型	字段来源	字段说明/描述
单据信息	单号	文本	编码规则待确认	通知单唯一标识；生成规则待确认。
单据信息	来源采购订单	关联选择	采购订单	创建时必须来自已审核、正常且有可下推数量的订单；一张订单可以生成多张通知单。
单据信息	收货仓库	关联选择	仓库资料	沿用来源订单的收货仓库。
单据信息	备注	多行文本	手工录入	补充说明。
状态信息	单据状态	枚举	流程更新	待推送、推送中、推送失败、待收货、取消中、已收货、已取消；创建后由系统自动推送仓库，不需要人工再点推送。
状态信息	推送时间	日期时间	系统记录	最近一次推送仓库的时间。
状态信息	最终收货确认时间	日期时间	系统记录	仓库最终回传收货结果的时间；还没确认时留空。
状态信息	推送失败原因	多行文本	系统记录	推送明确失败时记录；重试成功后仍保留历史。
状态信息	最近处理时间	日期时间	系统记录	最近一次推送或异常处理的时间。
终止信息	取消原因	文本	手工录入	通知取消时填写。
终止信息	取消时间	日期时间	系统记录	取消成功的时间；未取消时留空。
终止信息	取消操作人	用户引用	系统记录	执行取消操作的人员；未取消时留空。
商品明细	行号	数值	系统记录	明细行顺序号。
商品明细	来源订单行	关联明细	采购订单	关联来源订单明细，数量按来源行累计。
商品明细	商品	关联选择	商品资料	沿用来源订单行的商品。
商品明细	基本单位	关联选择	商品资料	按所选商品实时带出；与商品名称一起在明细展示，作为数量的计量口径，不单独维护。
商品明细	通知数量	数值	手工录入	本次通知的收货数量；创建即占用订单可下推额度。
商品明细	实收数量	数值	系统回写	仓库最终回传的实际收货数量；不超过通知数量。
商品明细	缺收数量	数值	系统计算	通知数量减实收数量；不回原通知补收，需要补收时另建通知单。
系统信息	创建人	用户引用	系统记录	建单人员。
系统信息	创建时间	日期时间	系统记录	建单时间。
系统信息	更新人	用户引用	系统记录	最近修改人员。
系统信息	更新时间	日期时间	系统记录	最近修改时间。
