字段所属分组	字段名称	字段类型	字段来源	必填性	新增页	编辑页	列表展示	可筛选	详情展示	字段说明/描述	取值说明	备注
基础信息	客户编码	文本	系统生成或手工录入	是	是	只读	是	是	是	客户统一业务标识；生成与修改规则见《6.强盛ERP的编码规则和通用字段规则》。	CUS+6位序号；保存时校验唯一	编码规则见《6.强盛ERP的编码规则和通用字段规则》第二节；一经保存不可改；列表关键词可检索
基础信息	客户名称	文本	手工录入	是	是	是	是	是	是	客户正式名称；国内、跨境电商2C分别使用通用客户名称，不按消费者建档。	非空文本	列表关键词可检索
基础信息	客户分类	枚举	人工选择	是	是	是	是	是	是	代理商、国内电商2C客户、跨境电商2C客户、国内2B客户、跨境2B客户。	五类固定选项	国内电商、跨境电商分别只保留一条通用客户（主PRD R03）
基础信息	客户等级	枚举	人工维护	否	是	是	是	是	是	S、A、B、C、未评级；人工选择，系统不校验评价过程，不影响销售资格。	S、A、B、C、未评级，默认未评级	人工选级，不校验怎么评（主PRD Q04）
基础信息	备注	多行文本	手工录入	否	是	是	否	否	是	候选；补充客户说明。	多行文本	非必填
结算与付款资料	默认币别	关联选择	辅助资料／币别	否	是	是	是	是	是	客户默认交易币别。	辅助资料维护的启用币别	非必填；销售单据可以另选币别
结算与付款资料	结算方式	枚举	辅助资料／结算方式	否	是	是	否	否	是	电汇、现金、支票等支付方式；从辅助资料选择启用项，不另设同义付款方式字段。	辅助资料维护的启用结算方式	结算方式在辅助资料维护，上线前补清单（主PRD Q04）
结算与付款资料	收款条件	枚举	辅助资料／收款条件	否	是	是	否	否	是	枚举选择，预留选项；表达现款、月结或分阶段收款等。	辅助资料维护的启用收款条件	收款条件在辅助资料维护，上线前补清单（主PRD Q04）
联系人明细	联系人姓名	文本	手工录入	条件必填	是	是	是	否	是	每条联系人的姓名或称呼；支持多条联系人。通用2C档案不在此累计消费者资料。	文本	添加联系人行后必填；列表显示默认联系人姓名，无默认项显示—
联系人明细	联系人类型	枚举	人工选择	否	是	是	否	否	是	候选；如业务、财务、其他，具体选项待确认。	待确认	选项待确认（主PRD Q04）
联系人明细	手机号码	文本	手工录入	否	是	是	否	否	是	候选；移动联系方式。	文本	
联系人明细	固定电话	文本	手工录入	否	是	是	否	否	是	候选；可包含区号及分机。	文本	
联系人明细	电子邮箱	文本	手工录入	否	是	是	否	否	是	候选；用于业务资料联系。	文本	
联系人明细	是否默认联系人	布尔	人工设置	否	是	是	否	否	是	每个客户最多一个默认联系人；引用时优先带入，无默认项时手动选择，不自动取第一条。	是、否	设置默认时自动取消同组其他默认
联系人明细	联系人备注	多行文本	手工录入	否	是	是	否	否	是	候选；该联系人的补充说明。	多行文本	
地址明细	地址类型	枚举	人工选择	否	是	是	否	否	是	候选；收货等地址用途，具体选项待确认，支持多条。	待确认	选项待确认（主PRD Q04）
地址明细	国家／地区	关联选择	系统预置地区字典（待确认）	否	是	是	否	否	是	候选；地址所属国家或地区。	系统预置地区字典（待确认）	字典来源与预置方式待确认
